Date,Open,High,Low,Close,Adj Close,Volume
"Dec 31, 2019",7587.10,7587.40,7532.40,7542.40,7542.40,212142200.00
"Dec 30, 2019",7644.90,7644.90,7587.10,7587.10,7587.10,304247900.00
"Dec 27, 2019",7632.20,7665.40,7622.50,7644.90,7644.90,311117100.00
"Dec 24, 2019",7623.60,7636.20,7608.20,7632.20,7632.20,185671600.00
"Dec 23, 2019",7582.50,7628.20,7559.60,7623.60,7623.60,539145700.00
"Dec 20, 2019",7573.80,7599.50,7564.60,7582.50,7582.50,1159724000.00
"Dec 19, 2019",7540.80,7575.90,7526.10,7573.80,7573.80,661933000.00
"Dec 18, 2019",7525.30,7557.10,7515.20,7540.80,7540.80,679287600.00
"Dec 17, 2019",7519.10,7537.70,7497.20,7525.30,7525.30,1096514900.00
"Dec 16, 2019",7353.40,7552.70,7353.20,7519.10,7519.10,1045291600.00
"Dec 13, 2019",7273.50,7429.00,7223.40,7353.40,7353.40,1906667700.00
"Dec 12, 2019",7216.30,7307.40,7216.10,7273.50,7273.50,727087300.00
"Dec 11, 2019",7213.80,7250.70,7195.50,7216.30,7216.30,820837400.00
"Dec 10, 2019",7233.90,7234.40,7137.80,7213.80,7213.80,703527300.00
"Dec 09, 2019",7239.70,7255.70,7217.80,7233.90,7233.90,619399300.00
"Dec 06, 2019",7137.90,7241.50,7137.90,7239.70,7239.70,516373000.00
"Dec 05, 2019",7188.50,7194.80,7131.20,7137.90,7137.90,650618500.00
"Dec 04, 2019",7158.80,7190.00,7139.90,7188.50,7188.50,688011100.00
"Dec 03, 2019",7285.90,7285.90,7134.90,7158.80,7158.80,824932200.00
"Dec 02, 2019",7346.50,7400.30,7277.00,7285.90,7285.90,928558400.00
"Nov 29, 2019",7416.40,7421.40,7346.50,7346.50,7346.50,627336500.00
"Nov 28, 2019",7429.80,7429.80,7385.30,7416.40,7416.40,605369500.00
"Nov 27, 2019",7403.10,7446.00,7400.40,7429.80,7429.80,626246700.00
"Nov 26, 2019",7396.30,7421.30,7385.00,7403.10,7403.10,1058651500.00
"Nov 25, 2019",7326.80,7401.80,7326.80,7396.30,7396.30,570982800.00
"Nov 22, 2019",7238.60,7343.30,7238.50,7326.80,7326.80,611242800.00
"Nov 21, 2019",7262.50,7262.50,7197.30,7238.60,7238.60,608185000.00
"Nov 20, 2019",7323.80,7323.80,7219.10,7262.50,7262.50,814232500.00
"Nov 19, 2019",7307.70,7404.50,7307.70,7323.80,7323.80,605672300.00
"Nov 18, 2019",7302.90,7335.40,7293.40,7307.70,7307.70,764459700.00
"Nov 15, 2019",7292.80,7335.60,7243.20,7302.90,7302.90,770473200.00
"Nov 14, 2019",7351.20,7351.30,7292.80,7292.80,7292.80,675226500.00
"Nov 13, 2019",7365.40,7365.40,7301.70,7351.20,7351.20,695720800.00
"Nov 12, 2019",7328.50,7390.00,7328.20,7365.40,7365.40,754644000.00
"Nov 11, 2019",7359.40,7359.40,7258.50,7328.50,7328.50,828425100.00
"Nov 08, 2019",7406.40,7406.80,7349.10,7359.40,7359.40,551986100.00
"Nov 07, 2019",7396.70,7431.90,7396.00,7406.40,7406.40,668773400.00
"Nov 06, 2019",7388.10,7398.80,7363.60,7396.70,7396.70,618514700.00
"Nov 05, 2019",7369.70,7402.80,7369.60,7388.10,7388.10,673186900.00
"Nov 04, 2019",7302.40,7392.70,7302.40,7369.70,7369.70,582661700.00
"Nov 01, 2019",7248.40,7307.20,7248.40,7302.40,7302.40,582078600.00
"Oct 31, 2019",7330.80,7335.20,7245.20,7248.40,7248.40,847657500.00
"Oct 30, 2019",7306.30,7334.00,7278.20,7330.80,7330.80,672191900.00
"Oct 29, 2019",7331.30,7335.70,7264.70,7306.30,7306.30,710020700.00
"Oct 28, 2019",7324.50,7346.90,7291.60,7331.30,7331.30,676041800.00
"Oct 25, 2019",7328.30,7331.20,7279.80,7324.50,7324.50,580305100.00
"Oct 24, 2019",7260.70,7338.90,7255.50,7328.30,7328.30,733646100.00
"Oct 23, 2019",7212.50,7265.90,7194.10,7260.70,7260.70,764933300.00
"Oct 22, 2019",7163.60,7230.20,7146.70,7212.50,7212.50,800741400.00
"Oct 21, 2019",7150.60,7197.50,7139.40,7163.60,7163.60,853632700.00
"Oct 18, 2019",7182.30,7197.10,7146.10,7150.60,7150.60,869346100.00
"Oct 17, 2019",7168.00,7237.80,7162.00,7182.30,7182.30,1126096700.00
"Oct 16, 2019",7211.60,7217.60,7149.80,7168.00,7168.00,1000484300.00
"Oct 15, 2019",7213.50,7242.40,7176.70,7211.60,7211.60,1123687400.00
"Oct 14, 2019",7247.10,7251.80,7194.20,7213.50,7213.50,780579200.00
"Oct 11, 2019",7186.40,7250.10,7144.70,7247.10,7247.10,1507692000.00
"Oct 10, 2019",7166.50,7212.90,7130.50,7186.40,7186.40,700021400.00
"Oct 09, 2019",7143.20,7196.40,7139.90,7166.50,7166.50,582025200.00
"Oct 08, 2019",7197.90,7223.90,7143.20,7143.20,7143.20,692866200.00
"Oct 07, 2019",7155.40,7206.90,7133.00,7197.90,7197.90,551391300.00
"Oct 04, 2019",7077.60,7157.80,7077.40,7155.40,7155.40,588776100.00
"Oct 03, 2019",7122.50,7129.00,7004.40,7077.60,7077.60,635551800.00
"Oct 02, 2019",7360.30,7360.30,7119.70,7122.50,7122.50,747799600.00
"Oct 01, 2019",7408.20,7433.20,7352.80,7360.30,7360.30,734563400.00
"Sep 30, 2019",7426.20,7439.60,7402.20,7408.20,7408.20,655556100.00
"Sep 27, 2019",7351.10,7440.80,7351.00,7426.20,7426.20,584318800.00
"Sep 26, 2019",7290.00,7387.10,7277.20,7351.10,7351.10,704707500.00
"Sep 25, 2019",7291.40,7292.00,7213.00,7290.00,7290.00,704553100.00
"Sep 24, 2019",7326.10,7349.00,7281.90,7291.40,7291.40,588772200.00
"Sep 23, 2019",7344.90,7362.30,7284.80,7326.10,7326.10,489660300.00
"Sep 20, 2019",7356.40,7376.30,7322.00,7344.90,7344.90,1656288000.00
"Sep 19, 2019",7314.10,7373.10,7290.70,7356.40,7356.40,632737400.00
"Sep 18, 2019",7320.40,7350.50,7300.40,7314.10,7314.10,642716000.00
"Sep 17, 2019",7321.40,7350.20,7292.20,7320.40,7320.40,698421800.00
"Sep 16, 2019",7367.50,7378.30,7321.40,7321.40,7321.40,908260500.00
"Sep 13, 2019",7344.70,7380.30,7318.20,7367.50,7367.50,1003827600.00
"Sep 12, 2019",7338.00,7369.30,7303.20,7344.70,7344.70,725259800.00
"Sep 11, 2019",7268.00,7346.70,7268.00,7338.00,7338.00,829121400.00
"Sep 10, 2019",7235.80,7270.50,7199.40,7268.00,7268.00,1031549500.00
"Sep 09, 2019",7282.30,7325.20,7206.00,7235.80,7235.80,794831900.00
"Sep 06, 2019",7271.20,7284.10,7244.10,7282.30,7282.30,692287900.00
"Sep 05, 2019",7311.30,7330.70,7250.60,7271.20,7271.20,711302800.00
"Sep 04, 2019",7268.20,7334.60,7268.20,7311.30,7311.30,677444300.00
"Sep 03, 2019",7281.90,7301.50,7239.10,7268.20,7268.20,626095300.00
"Sep 02, 2019",7207.20,7315.30,7206.90,7281.90,7281.90,497764900.00
"Aug 30, 2019",7184.30,7240.40,7179.70,7207.20,7207.20,727868800.00
"Aug 29, 2019",7114.70,7199.20,7103.10,7184.30,7184.30,635681800.00
"Aug 28, 2019",7089.60,7131.20,7050.00,7114.70,7114.70,675638900.00
"Aug 27, 2019",7095.00,7110.80,7044.70,7089.60,7089.60,851399100.00
"Aug 23, 2019",7128.20,7188.60,7095.00,7095.00,7095.00,643009300.00
"Aug 22, 2019",7204.00,7204.00,7103.70,7128.20,7128.20,653343400.00
"Aug 21, 2019",7125.00,7215.50,7122.10,7204.00,7204.00,605372900.00
"Aug 20, 2019",7189.70,7231.70,7121.20,7125.00,7125.00,766076800.00
"Aug 19, 2019",7117.20,7214.20,7117.20,7189.70,7189.70,612867100.00
"Aug 16, 2019",7067.00,7125.90,7067.00,7117.20,7117.20,651943200.00
"Aug 15, 2019",7147.90,7148.80,7020.20,7067.00,7067.00,877816600.00
"Aug 14, 2019",7250.90,7268.70,7112.10,7147.90,7147.90,811517700.00
"Aug 13, 2019",7226.70,7281.10,7166.90,7250.90,7250.90,698409600.00
"Aug 12, 2019",7253.90,7305.60,7207.50,7226.70,7226.70,585461200.00
"Aug 09, 2019",7285.90,7297.30,7237.10,7253.90,7253.90,794807200.00
"Aug 08, 2019",7198.70,7285.90,7191.30,7285.90,7285.90,726060600.00
"Aug 07, 2019",7171.70,7237.90,7153.90,7198.70,7198.70,735519300.00
"Aug 06, 2019",7223.90,7241.60,7167.00,7171.70,7171.70,791750700.00
"Aug 05, 2019",7407.10,7407.10,7200.50,7223.90,7223.90,1243484900.00
"Aug 02, 2019",7584.90,7585.20,7397.90,7407.10,7407.10,1031592200.00
"Aug 01, 2019",7586.80,7610.00,7535.90,7584.90,7584.90,817813900.00
"Jul 31, 2019",7646.80,7648.20,7576.10,7586.80,7586.80,1092686800.00
"Jul 30, 2019",7686.60,7727.50,7643.70,7646.80,7646.80,822322600.00
"Jul 29, 2019",7549.10,7711.30,7548.90,7686.60,7686.60,759258200.00
"Jul 26, 2019",7489.10,7553.60,7486.70,7549.10,7549.10,775744000.00
"Jul 25, 2019",7501.50,7542.60,7462.70,7489.10,7489.10,633546500.00
"Jul 24, 2019",7556.90,7558.00,7479.10,7501.50,7501.50,637416200.00
"Jul 23, 2019",7514.90,7598.60,7514.90,7556.90,7556.90,634924300.00
"Jul 22, 2019",7508.70,7549.70,7491.80,7514.90,7514.90,513122700.00
"Jul 19, 2019",7493.10,7546.70,7475.50,7508.70,7508.70,575615700.00
"Jul 18, 2019",7535.50,7535.50,7482.60,7493.10,7493.10,504046800.00
