"","iso2c","Country","Year","PerCapGDP","GDP"
"1","CA","Canada",1960,2294.56881421577,41093453544.9096
"2","CA","Canada",1961,2231.2938237478,40767969453.696
"3","CA","Canada",1962,2255.23004413036,41978852041.4426
"4","CA","Canada",1963,2354.83912197975,44657169109.224
"5","CA","Canada",1964,2529.5181790541,48882938810.2204
"6","CA","Canada",1965,2739.58584928189,53909570342.169
"7","CA","Canada",1966,3010.70590757947,60358632035.1532
"8","CA","Canada",1967,3173.07619352225,64768831262.1761
"9","CA","Canada",1968,3411.06015434457,70759031841.7237
"10","CA","Canada",1969,3703.99040525529,77887510241.7083
"11","CA","Canada",1970,4121.93280924889,87896095224.4234
"12","CA","Canada",1971,4586.25584803149,99271961477.5203
"13","CA","Canada",1972,5141.61672495185,113082820992.019
"14","CA","Canada",1973,5870.60056368405,131321859214.079
"15","CA","Canada",1974,7043.47435083838,160408697648.262
"16","CA","Canada",1975,7489.94053115827,173834029787.652
"17","CA","Canada",1976,8783.72159204111,206575564401.623
"18","CA","Canada",1977,8892.76167988947,211612156934.65
"19","CA","Canada",1978,9096.05872232533,218632867449.812
"20","CA","Canada",1979,10012.4439669407,243072102185.419
"21","CA","Canada",1980,11135.4379854841,273853826377.01
"22","CA","Canada",1981,12297.7856877506,306214863624.99
"23","CA","Canada",1982,12439.7478409307,313506525087.136
"24","CA","Canada",1983,13377.8956545368,340547711781.889
"25","CA","Canada",1984,13826.6499923594,355372558103.621
"26","CA","Canada",1985,14060.4617782265,364756499450.751
"27","CA","Canada",1986,14403.8287021822,377437927311.983
"28","CA","Canada",1987,16245.4516791506,431316742081.448
"29","CA","Canada",1988,18864.2629180983,507354351182.254
"30","CA","Canada",1989,20638.2900486958,565055743243.243
"31","CA","Canada",1990,21371.2910981421,593929550908.468
"32","CA","Canada",1991,21664.598643531,610328183643.188
"33","CA","Canada",1992,20771.2503529737,592387689252.916
"34","CA","Canada",1993,20017.4298480977,577170761956.438
"35","CA","Canada",1994,19859.2039778368,578139279437.61
"36","CA","Canada",1995,20577.4893858895,604031623433.401
"37","CA","Canada",1996,21183.2200827089,628546387972.131
"38","CA","Canada",1997,21770.1340814172,652825364726.275
"39","CA","Canada",1998,20887.8394667666,631813279406.808
"40","CA","Canada",1999,22167.2258498882,676082654640.91
"41","CA","Canada",2000,24124.169174631,742293448252.643
"42","CA","Canada",2001,23691.5947188738,736379777892.562
"43","CA","Canada",2002,24167.8043060561,757950678646.53
"44","CA","Canada",2003,28172.1488309084,892380986367.854
"45","CA","Canada",2004,31979.8719510723,1023196003074.56
"46","CA","Canada",2005,36189.5883840265,1169357979864.66
"47","CA","Canada",2006,40386.6994835116,1315415197461.21
"48","CA","Canada",2007,44544.5268004039,1464977190205.75
"49","CA","Canada",2008,46596.3359912609,1549131208997.19
"50","CA","Canada",2009,40773.4543637445,1371153004986.44
"51","CA","Canada",2010,47447.4760241936,1613464422811.13
"52","CA","Canada",2011,52082.2107601003,1788647906047.76
"53","CA","Canada",2012,52496.6948704709,1824288757447.57
"54","CA","Canada",2013,52413.7211560786,1842628005830.18
"55","CA","Canada",2014,50440.4337553383,1792883225804.38
"56","CA","Canada",2015,43315.7004418128,1552807652015.37
"57","CA","Canada",2016,42157.9279910146,1529760492201.35
"58","CN","China",1960,89.5205415103584,59716467625.3148
"59","CN","China",1961,75.8058379259965,50056868957.6732
"60","CN","China",1962,70.9094116671007,47209359005.6056
"61","CN","China",1963,74.3136434486145,50706799902.5103
"62","CN","China",1964,85.4985551596313,59708343488.5043
"63","CN","China",1965,98.4867777522206,70436266146.7219
"64","CN","China",1966,104.324566181147,76720285969.6157
"65","CN","China",1967,96.5895319417819,72881631326.6715
"66","CN","China",1968,91.4727183066072,70846535055.6503
"67","CN","China",1969,100.12990326618,79705906247.4612
"68","CN","China",1970,113.162991554686,92602973434.0726
"69","CN","China",1971,118.654577785346,99800958648.1436
"70","CN","China",1972,131.883561243868,113687586299.051
"71","CN","China",1973,157.090374298657,138544284708.957
"72","CN","China",1974,160.140093727686,144182133387.722
"73","CN","China",1975,178.341819608096,163431551779.761
"74","CN","China",1976,165.40554037242,153940455341.506
"75","CN","China",1977,185.422832913673,174938098826.569
"76","CN","China",1978,156.39628140175,149540650406.504
"77","CN","China",1979,183.985230928274,178282608695.652
"78","CN","China",1980,194.805525689565,1.9115e+11
"79","CN","China",1981,197.070163414358,195865079365.079
"80","CN","China",1982,203.336806414082,205091603053.435
"81","CN","China",1983,225.431026526458,230685823754.789
"82","CN","China",1984,250.713889587374,259946428571.429
"83","CN","China",1985,294.457294258851,309486394557.823
"84","CN","China",1986,281.92935843967,300759420289.855
"85","CN","China",1987,251.812067110752,272973094170.404
"86","CN","China",1988,283.537947827329,312353909465.021
"87","CN","China",1989,310.881157178503,347767206477.733
