Row Key,date,open,high,low,close,volume,adjclose,symbol
INTC-2000-07-18,2000-07-18,144.8125,144.828125,141.4375,143,5.07E+07,50.155473,INTC
BEN-2000-07-20,2000-07-20,32.93751,34.25001,32.8125,33.75,3288300,8.789734,BEN
APH-2000-07-24,2000-07-24,64.25,67.312477,64.187523,64.75,948800,7.689567,APH
SHW-2000-07-26,2000-07-26,21.875,22.125,20.9375,20.9375,1464300,15.61832,SHW
STJ-2000-07-26,2000-07-26,42,42.312481,41.625,41.875,1397600,9.402721,STJ
GGP-2000-07-31,2000-07-31,33.937519,33.999986,33.75,33.875011,273400,5.063753,GGP
SBUX-2000-08-07,2000-08-07,41.375038,43,40.812481,42.812481,2.43E+07,4.869542,SBUX
EQT-2000-08-09,2000-08-09,55.562481,55.625,54.5,55,387600,10.495977,EQT
BCR-2000-08-10,2000-08-10,49,52.625,48.75,52.125,1511600,22.539051,BCR
BEN-2000-08-15,2000-08-15,35.68749,35.68749,34.875,34.875,1246500,9.082726,BEN
NKE-2000-08-23,2000-08-23,41.125,41.375,40.187519,40.25,1.97E+07,4.203095,NKE
IPG-2000-09-12,2000-09-12,38,38,36.9375,37.6875,1431700,32.285666,IPG
EXC-2000-09-13,2000-09-13,56.4375,57.6875,56.4375,57.125,4194400,15.66107,EXC
BXP-2000-09-22,2000-09-22,42.75,43,42.5625,42.875,155100,20.370235,BXP
BIIB-2000-10-02,2000-10-02,176.25,176.312485,155.187515,156.999985,4101900,52.333328,BIIB
DD-2000-10-04,2000-10-04,44.375001,46.500001,44.375001,45.374998,6005600,24.935551,DD
NUE-2000-10-05,2000-10-05,31.25,31.562481,30.562481,30.75,1419200,4.943182,NUE
ALK-2000-10-23,2000-10-23,20.812481,22,20.687519,21.812481,2096400,5.26093,ALK
COG-2000-10-25,2000-10-25,20.81256,20.81256,19.812479,20.00004,559200,1.571407,COG
ETN-2000-10-31,2000-10-31,67.625011,68.625037,67.312507,68.062534,1148400,8.058698,ETN
DO-2000-11-01,2000-11-01,35.6875,36.6875,35.1875,36.125,1394800,19.415772,DO
BSX-2000-11-02,2000-11-02,15.6875,16.4375,15.5625,16.125,4287800,8.0625,BSX
UPS-2000-11-02,2000-11-02,59.5,61.5,58,61.375,1145800,42.092816,UPS
ENDP-2000-11-03,2000-11-03,6.51562,7.0625,6.5,7.0625,16800,7.0625,ENDP
WBA-2000-11-10,2000-11-10,43,43.4375,42.5625,42.875,1813800,34.890409,WBA
PXD-2000-11-16,2000-11-16,13.75,14.4375,13.75,14.375,829700,13.8499,PXD
STI-2000-11-17,2000-11-17,48.5,49,47.125,47.5,1038100,32.515943,STI
FDX-2000-11-20,2000-11-20,46.98,47,46,46.5,622600,43.282129,FDX
LLTC-2000-11-27,2000-11-27,55.625,55.875,50.5,50.6875,3893900,36.411879,LLTC
RHT-2000-11-28,2000-11-28,8,8,7,7.03125,2390600,7.03125,RHT
O-2000-11-29,2000-11-29,24.25,24.3125,24,24.1875,37000,4.840168,O
RAI-2000-12-01,2000-12-01,39,39,38.25,39,4000800,1.958053,RAI
BWA-2000-12-07,2000-12-07,35.375038,35.624962,34.624962,35.187519,1828800,3.873478,BWA
FLIR-2000-12-11,2000-12-11,3.43752,3.93752,3.43752,3.75,93600,0.437528,FLIR
MET-2000-12-12,2000-12-12,34.5625,35.1875,34.25,34.8125,5533800,26.42913,MET
XLNX-2000-12-13,2000-12-13,47.6875,47.6875,42.75,43.3125,1.01E+07,33.291433,XLNX
FCX-2000-12-20,2000-12-20,8.125,8.4375,8.125,8.3125,1217000,2.692444,FCX
XLNX-2000-12-22,2000-12-22,44.8125,48.8125,44.3125,48.375,9779200,37.182639,XLNX
FOX-2000-12-22,2000-12-22,31.749997,31.749997,30.875005,31.249992,2018100,12.446755,FOX
EMC-2000-12-28,2000-12-28,68,69.9375,67.5625,68.5625,9635900,63.535675,EMC
RHI-2001-01-02,2001-01-02,26.5,26.5,23.8125,23.9375,1117600,19.598044,RHI
FISV-2001-01-17,2001-01-17,46.65624,48.24999,46.5,48,3893400,16,FISV
CINF-2001-01-17,2001-01-17,38,38,37.437504,37.562493,256800,19.065703,CINF
AGN-2001-01-18,2001-01-18,48.9375,50.375,47,47.5625,1489400,47.5625,AGN
IP-2001-01-18,2001-01-18,36.250007,36.749998,35.562502,35.812505,2616200,21.791488,IP
KSS-2001-01-19,2001-01-19,66.375,66.375,64.375,65.9375,1960400,56.329221,KSS
EBAY-2001-01-29,2001-01-29,50.812481,52.812477,50,52.312482,4.28E+07,5.504259,EBAY
CMS-2001-01-31,2001-01-31,29.66,29.84,28.889999,29.5,426000,18.562488,CMS
TROW-2001-02-09,2001-02-09,37.593761,38,36.9375,37.75,1572200,13.510969,TROW
KR-2001-02-13,2001-02-13,24.65,24.700001,23.75,23.99,6395400,10.232904,KR
R-2001-02-15,2001-02-15,19.6,19.77,19.389999,19.59,148100,14.141609,R
PNC-2001-02-15,2001-02-15,73.199997,73.300003,71.980003,72.099998,882400,46.072101,PNC
