"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","31-May-2018","       3514.10","       1734.00","       1759.05","       1726.10","       1748.85","       1741.05","       1742.44","    5049371","          8798250473.70","     207998","    3447026","         68.27"
"TCS","EQ","01-Jun-2018","       1741.05","       1754.00","       1757.50","       1716.30","       1732.00","       1732.45","       1742.29","    1603856","          2794386298.35","      74272","     924751","         57.66"
"TCS","EQ","04-Jun-2018","       1732.45","       1745.00","       1749.00","       1712.60","       1742.00","       1744.25","       1730.25","    1681483","          2909393689.70","      96686","     928452","         55.22"
"TCS","EQ","05-Jun-2018","       1744.25","       1744.00","       1751.90","       1711.15","       1723.00","       1721.60","       1728.88","    2449568","          4235000687.90","     133067","    1492228","         60.92"
"TCS","EQ","06-Jun-2018","       1721.60","       1723.00","       1734.90","       1715.20","       1725.00","       1725.75","       1725.85","    2236512","          3859874684.10","      73770","    1573892","         70.37"
"TCS","EQ","07-Jun-2018","       1725.75","       1725.00","       1749.00","       1723.80","       1734.05","       1735.55","       1738.00","    2414762","          4196845765.20","     105531","    1639426","         67.89"
"TCS","EQ","08-Jun-2018","       1735.55","       1735.00","       1757.30","       1735.00","       1742.95","       1747.10","       1748.59","    2582138","          4515097488.70","      90908","    1640936","         63.55"
"TCS","EQ","11-Jun-2018","       1747.10","       1747.10","       1763.00","       1743.00","       1750.90","       1749.70","       1752.55","    2179378","          3819463189.45","     104681","    1659838","         76.16"
"TCS","EQ","12-Jun-2018","       1749.70","       1757.00","       1785.00","       1753.00","       1781.05","       1781.00","       1773.52","    4608875","          8173948345.10","     108707","    3580858","         77.69"
"TCS","EQ","13-Jun-2018","       1781.00","       1816.00","       1831.65","       1798.00","       1824.00","       1824.10","       1818.17","    5370983","          9765380711.80","     236378","    2862488","         53.30"
"TCS","EQ","14-Jun-2018","       1824.10","       1830.00","       1832.30","       1784.00","       1784.95","       1787.55","       1795.49","    3819998","          6858771088.20","     185231","    2405344","         62.97"
"TCS","EQ","15-Jun-2018","       1787.55","       1800.00","       1847.10","       1788.60","       1840.00","       1840.05","       1823.42","    9183574","         16745544383.35","     232555","    4247203","         46.25"
"TCS","EQ","18-Jun-2018","       1840.05","       1867.95","       1867.95","       1822.15","       1824.00","       1829.00","       1840.85","    4674987","          8605956299.90","     212032","    2287621","         48.93"
"TCS","EQ","19-Jun-2018","       1829.00","       1822.15","       1839.00","       1821.00","       1822.90","       1824.50","       1829.83","    3245034","          5937862115.25","     139033","    1712806","         52.78"
